data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,Det_count,Match_count,count_ok,align_ok,rank_ok,success
3,palm_tree,blur,0.8,1.0,1,palm_tree,3,3,True,False,False,False
3,palm_tree,blur,0.8,1.2,0,palm_tree,3,3,True,True,True,True
3,palm_tree,blur,0.8,1.2,1,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.4,0.6,1,palm_tree,3,3,True,False,False,False
3,palm_tree,sparse,0.4,0.6,0,palm_tree,3,3,True,False,False,False
3,palm_tree,blur,0.8,1.4,2,palm_tree,0,0,False,,,False
3,palm_tree,blur,0.8,1.2,2,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.4,0.6,2,palm_tree,3,3,True,False,False,False
3,palm_tree,blur,0.8,1.4,0,palm_tree,3,3,True,True,True,True
3,palm_tree,blur,0.8,1.4,1,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.4,0.8,0,palm_tree,3,3,True,False,False,False
3,palm_tree,sparse,0.4,0.8,2,palm_tree,3,3,True,False,False,False
3,palm_tree,sparse,0.4,1.0,0,palm_tree,3,3,True,True,False,False
3,palm_tree,sparse,0.4,1.2,0,palm_tree,2,2,False,,,False
3,palm_tree,sparse,0.4,1.0,2,palm_tree,3,3,True,False,False,False
3,palm_tree,sparse,0.4,1.2,2,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.4,0.8,1,palm_tree,3,3,True,False,False,False
3,palm_tree,sparse,0.4,1.0,1,palm_tree,2,2,False,,,False
3,palm_tree,sparse,0.4,1.2,1,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.4,1.4,1,palm_tree,3,3,True,True,False,False
3,palm_tree,sparse,0.4,1.4,0,palm_tree,3,3,True,False,True,False
3,palm_tree,sparse,0.6,0.6,0,palm_tree,3,3,True,True,False,False
3,palm_tree,sparse,0.6,0.8,1,palm_tree,3,3,True,False,True,False
3,palm_tree,sparse,0.6,0.8,0,palm_tree,3,3,True,False,False,False
3,palm_tree,sparse,0.6,0.6,1,palm_tree,3,3,True,True,False,False
3,palm_tree,sparse,0.6,0.6,2,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.4,1.4,2,palm_tree,2,2,False,,,False
3,palm_tree,sparse,0.6,0.8,2,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.6,1.0,0,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.6,1.0,1,palm_tree,2,2,False,,,False
3,palm_tree,sparse,0.6,1.2,1,palm_tree,3,3,True,True,True,True
3,palm_tree,sparse,0.6,1.2,2,palm_tree,3,3,True,True,True,True
